<DTYYYYMMDD>,<Ticker>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
20170627,LEC,24.0,24.0,24.0,24.0,15980,24.0,24.0,24.0,24.0,0,0,0
20170626,LEC,22.45,22.45,22.45,22.45,8340,22.45,22.45,22.45,22.45,0,0,0
20170623,LEC,21.0,21.0,21.0,21.0,20460,21.0,21.0,21.0,21.0,0,0,0
20170622,LEC,19.65,19.65,19.65,19.65,4020,19.65,19.65,19.65,19.65,0,0,0
20170621,LEC,18.4,18.4,18.4,18.4,9270,18.4,18.4,18.4,18.4,0,0,0
20170620,LEC,17.2,17.2,17.2,17.2,3420,17.2,17.2,17.2,17.2,0,0,0
20170619,LEC,16.1,16.1,16.1,16.1,5500,16.1,16.1,16.1,16.1,0,0,0
20170616,LEC,15.05,15.05,15.05,15.05,5190,15.05,15.05,15.05,15.05,0,0,0
20170615,LEC,14.1,14.1,14.1,14.1,2160,14.1,14.1,14.1,14.1,0,0,0
