<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VC3,20100131.0,6.1,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100132.0,9.15,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100133.0,10.675,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100134.0,11.4375,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100135.0,11.81875,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100136.0,12.009375,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100137.0,12.1046875,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100138.0,12.15234375,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100139.0,12.176171875,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100140.0,12.1880859375,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100141.0,12.1940429687,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100142.0,12.1970214844,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100143.0,12.1985107422,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100144.0,12.1992553711,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100145.0,12.1996276855,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100146.0,12.1998138428,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100147.0,12.1999069214,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100148.0,12.1999534607,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100149.0,12.1999767303,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100150.0,12.1999883652,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100151.0,12.1999941826,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100152.0,12.1999970913,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100153.0,12.1999985456,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100154.0,12.1999992728,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100155.0,12.1999996364,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100156.0,12.1999998182,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100157.0,12.1999999091,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100158.0,12.1999999546,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100159.0,12.1999999773,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100160.0,12.1999999886,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100161.0,12.1999999943,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100162.0,12.1999999972,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100163.0,12.1999999986,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100164.0,12.1999999993,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100165.0,12.1999999996,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100166.0,12.1999999998,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100167.0,12.1999999999,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100168.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100169.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100170.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100171.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100172.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100173.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100174.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100175.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VC3,20100176.0,12.2,6.275,6.09,6.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
