# Ticker, PercentRise,PercentFall
KLF,61.4973262032,38.5026737968
AGM,59.8947368421,40.1052631579
E1SSHN30,76.0,24.0
G20,62.6394052045,37.3605947955
AGF,59.0038314176,40.9961685824
AGD,62.6788036411,37.3211963589
AGC,51.763367463,48.236632537
MCV,52.2970903522,47.7029096478
AGX,73.6842105263,26.3157894737
AGR,61.6941928609,38.3058071391
AGP,58.6956521739,41.3043478261
DL1,61.5286624204,38.4713375796
BWA,51.4018691589,48.5981308411
LHG,58.349328215,41.650671785
CPC,59.0742101396,40.9257898604
LHC,58.9634146341,41.0365853659
FIT,56.2306900103,43.7693099897
CKH,0.0,100.0
FID,63.7387387387,36.2612612613
GIL,61.0672474816,38.9327525184
MAS,61.6,38.4
LAI,52.380952381,47.619047619
MAX,58.4795321637,41.5204678363
LAF,58.8005215124,41.1994784876
MKV,58.137510879,41.862489121
MAC,62.8397115918,37.1602884082
LAW,100.0,0.0
LAS,58.1447963801,41.8552036199
DTK,85.7142857143,14.2857142857
CSM,53.1329597555,46.8670402445
DTN,70.7317073171,29.2682926829
BEL,78.5714285714,21.4285714286
DTL,64.9595687332,35.0404312668
CMG,61.7486338798,38.2513661202
CMF,67.2727272727,32.7272727273
DTA,65.9761456372,34.0238543628
DTG,80.0,20.0
EVE,58.540042523,41.459957477
BED,59.8837209302,40.1162790698
EVG,66.6666666667,33.3333333333
CMX,59.6166134185,40.3833865815
CMV,65.9090909091,34.0909090909
CMT,58.843537415,41.156462585
CMS,60.8779857973,39.1220142027
DTV,66.1971830986,33.8028169014
DTT,61.0632911392,38.9367088608
KPF,60.0,40.0
KBC,54.5994065282,45.4005934718
MKT,58.3333333333,41.6666666667
KBE,73.5294117647,26.4705882353
HUT,54.9132947977,45.0867052023
L35,63.8157894737,36.1842105263
LSS,56.9970225436,43.0029774564
KBT,51.0416666667,48.9583333333
FTS,62.3853211009,37.6146788991
C47,62.5915080527,37.4084919473
HCT,56.3881401617,43.6118598383
H11,57.1428571429,42.8571428571
DST,57.5138121547,42.4861878453
DSN,65.3250773994,34.6749226006
HCC,61.3846903949,38.6153096051
HU6,20.0,80.0
BLN,50.0,50.0
BLI,62.1323529412,37.8676470588
HU1,61.7322834646,38.2677165354
HCD,54.8780487805,45.1219512195
HU3,61.1455108359,38.8544891641
BLF,58.0967402734,41.9032597266
FTM,57.7319587629,42.2680412371
HCM,53.5837864558,46.4162135442
E1VFVN30,69.101978691,30.898021309
HLY,57.8048780488,42.1951219512
HLR,0.0,100.0
INN,57.3907455013,42.6092544987
MMC,56.0295324036,43.9704675964
HLG,59.2885375494,40.7114624506
HLD,59.2205323194,40.7794676806
HLC,61.8690313779,38.1309686221
HLB,51.5151515152,48.4848484848
HLA,60.8285264814,39.1714735186
INC,57.712305026,42.287694974
CTT,61.1650485437,38.8349514563
CTV,53.216374269,46.783625731
CTW,25.0,75.0
CTP,57.4561403509,42.5438596491
CTS,60.5998983223,39.4001016777
DOC,68.5714285714,31.4285714286
LM3,60.6331168831,39.3668831169
CTX,59.811827957,40.188172043
LM7,61.8771726535,38.1228273465
CTD,61.9765494137,38.0234505863
CTF,73.6842105263,26.3157894737
CTG,56.0827864715,43.9172135285
CTA,61.9636363636,38.0363636364
CTB,60.3372434018,39.6627565982
CTC,61.3095238095,38.6904761905
CTM,59.328358209,40.671641791
DOP,50.0,50.0
GLT,58.7537091988,41.2462908012
CTI,58.3668775158,41.6331224842
BAS,55.3789731051,44.6210268949
FCS,65.3846153846,34.6153846154
GGS,50,50.0
JSC,31.25,68.75
BST,61.282932417,38.717067583
MDC,61.581920904,38.418079096
BSP,60.2209944751,39.7790055249
BSQ,54.4303797468,45.5696202532
BSL,16.6666666667,83.3333333333
GGG,63.4146341463,36.5853658537
FCC,50,50.0
BSI,62.9755434783,37.0244565217
BSD,100.0,0.0
IN4,63.085399449,36.914600551
BSG,55.1401869159,44.8598130841
FCM,58.7147030185,41.2852969815
FCN,56.3621533442,43.6378466558
BSC,63.3752244165,36.6247755835
L43,54.9459041731,45.0540958269
HTG,75.0,25.0
IBC,58.0,42.0
L45,52.380952381,47.619047619
L44,62.1860149355,37.8139850645
NAS,54.9450549451,45.0549450549
MVY,100.0,0.0
LTC,57.485814055,42.514185945
MVB,47.7419354839,52.2580645161
MVC,59.6153846154,40.3846153846
FMC,57.4787972244,42.5212027756
DFC,100.0,0.0
HD2,57.3076923077,42.6923076923
CT6,62.0268620269,37.9731379731
CT3,68.1318681319,31.8681318681
KCB,55.6603773585,44.3396226415
KIP,80.0,20.0
ALV,64.3239625167,35.6760374833
ALT,60.9055770293,39.0944229707
ALP,61.7886178862,38.2113821138
DPS,60.2968460111,39.7031539889
DPR,59.4339622642,40.5660377358
DPP,59.5588235294,40.4411764706
CAP,58.9343132751,41.0656867249
CAV,58.0441640379,41.9558359621
BAX,59.2592592593,40.7407407407
DPG,49.5412844037,50.4587155963
DPC,60.1006711409,39.8993288591
CAN,60.8169934641,39.1830065359
BAM,61.9444444444,38.0555555556
DPH,81.4814814815,18.5185185185
ASIAGF,62.6229508197,37.3770491803
HID,49.7925311203,50.2074688797
HIG,63.0449362844,36.9550637156
HII,100.0,0.0
CAD,59.9634369287,40.0365630713
DBT,60.1243953006,39.8756046994
ABC,59.2307692308,40.7692307692
KTT,62.306900103,37.693099897
ABI,60.7977991747,39.2022008253
IVS,63.9400136333,36.0599863667
KTS,59.3352883675,40.6647116325
HGM,60.483175151,39.516824849
ABT,61.7682680662,38.2317319338
KTB,56.2310030395,43.7689969605
DP3,62.6213592233,37.3786407767
DP2,47.8260869565,52.1739130435
BHN,45.2229299363,54.7770700637
BHC,56.8678915136,43.1321084864
NCS,59.2391304348,40.7608695652
CFC,58.8235294118,41.1764705882
BHP,58.4905660377,41.5094339623
BHS,59.2009220131,40.7990779869
BHT,58.7988826816,41.2011173184
BHV,57.3308270677,42.6691729323
MIH,53.8461538462,46.1538461538
LIG,59.7417840376,40.2582159624
HFX,64.2857142857,35.7142857143
MIC,52.5951557093,47.4048442907
MIG,47.2222222222,52.7777777778
GHA,55.1378446115,44.8621553885
GHC,70.5263157895,29.4736842105
LIX,60.777385159,39.222614841
HAR,55.3539019964,44.6460980036
C32,57.2925764192,42.7074235808
HAS,60.4589585172,39.5410414828
HAT,52.5870178739,47.4129821261
FUCVREIT,57.5,42.5
LBE,57.9182156134,42.0817843866
LBM,59.4328475778,40.5671524222
BFC,57.476635514,42.523364486
CHC,50,50.0
L62,56.0498220641,43.9501779359
HRT,57.7639751553,42.2360248447
