# Ticker, PercentRise,PercentFall
SIV,54.1666666667,45.8333333333
SIC,56.9659442724,43.0340557276
SID,52.1739130435,47.8260869565
VT1,66.6666666667,33.3333333333
SII,62.3517786561,37.6482213439
VKC,59.1774094537,40.8225905463
TAW,100.0,0.0
S4A,69.4915254237,30.5084745763
TAS,51.2345679012,48.7654320988
SPP,61.3496932515,38.6503067485
SPV,66.6666666667,33.3333333333
SPH,66.8789808917,33.1210191083
SPI,61.2290502793,38.7709497207
TAG,61.9585687382,38.0414312618
SPM,58.3615436696,41.6384563304
TAC,56.0309698452,43.9690301548
SPA,67.4418604651,32.5581395349
SPB,40.0,60.0
SPC,59.0336134454,40.9663865546
SPD,64.0926640927,35.9073359073
XPH,56.2080536913,43.7919463087
NLG,62.5486381323,37.4513618677
SP2,64.0,36.0
VAF,57.5197889182,42.4802110818
TA9,60.046728972,39.953271028
TDH,54.8547400612,45.1452599388
VAT,59.4501718213,40.5498281787
SNG,56.9452130603,43.0547869397
PTT,55.8295964126,44.1704035874
SNC,60.310421286,39.689578714
PGT,62.1776504298,37.8223495702
SCR,56.3260340633,43.6739659367
VKD,65.9292035398,34.0707964602
NPS,59.073935773,40.926064227
TSM,51.1961722488,48.8038277512
TSB,59.594095941,40.405904059
TSC,55.5279503106,44.4720496894
PCT,62.3677248677,37.6322751323
PCN,58.2887700535,41.7112299465
TST,56.4694082247,43.5305917753
YBC,54.4235924933,45.5764075067
PCF,50,50.0
PCG,61.6772823779,38.3227176221
TMX,55.7046979866,44.2953020134
PCE,62.9893238434,37.0106761566
TTZ,62.1621621622,37.8378378378
TTS,100.0,0.0
TTR,61.7117117117,38.2882882883
VLC,49.853372434,50.146627566
TTP,58.6800573888,41.3199426112
VLG,63.4980988593,36.5019011407
TTT,57.1428571429,42.8571428571
TTH,53.3333333333,46.6666666667
TTN,47.3684210526,52.6315789474
TTC,59.2391304348,40.7608695652
TTB,57.8333333333,42.1666666667
TTG,55.0580431177,44.9419568823
TTF,56.7625590382,43.2374409618
TTD,61.3636363636,38.6363636364
NFC,74.6031746032,25.3968253968
TJC,57.5512148642,42.4487851358
QHW,80.487804878,19.512195122
PC1,57.3333333333,42.6666666667
PJC,59.0047393365,40.9952606635
VWS,62.5,37.5
QHD,56.1021759697,43.8978240303
PJT,61.978545888,38.021454112
TS4,59.3812091967,40.6187908033
PJS,59.5693779904,40.4306220096
NOS,65.6210790464,34.3789209536
VBC,60.7235142119,39.2764857881
SB1,58.1395348837,41.8604651163
SMT,58.4304584305,41.5695415695
SMN,73.9130434783,26.0869565217
WSB,59.1304347826,40.8695652174
VNI,59.3158216249,40.6841783751
SME,49.6746203905,50.3253796095
VTL,58.174904943,41.825095057
SMC,62.4430955994,37.5569044006
SMB,65.6151419558,34.3848580442
SMA,64.7130647131,35.2869352869
REE,57.4457593688,42.5542406312
VE4,65.9367396594,34.0632603406
VE2,63.2183908046,36.7816091954
VE3,64.972634871,35.027365129
VE1,59.7434632462,40.2565367538
VE8,58.9189189189,41.0810810811
VE9,57.8313253012,42.1686746988
VES,57.8675838349,42.1324161651
VEF,51.329787234,48.670212766
VEE,100.0,0.0
SBS,61.3079019074,38.6920980926
SBV,51.724137931,48.275862069
SBT,58.8387096774,41.1612903226
NTP,53.9682539683,46.0317460317
NTR,100.0,0.0
ORS,64.1087613293,35.8912386707
NTW,59.6627756161,40.3372243839
SBC,61.036639857,38.963360143
SBA,66.7806267806,33.2193732194
NTL,55.3533643673,44.6466356327
SBD,64.5161290323,35.4838709677
NTC,55.6451612903,44.3548387097
NTB,62.2545454545,37.7454545455
SBL,57.1428571429,42.8571428571
XHC,57.1428571429,42.8571428571
TOP,61.4906832298,38.5093167702
DPM,54.1927409262,45.8072590738
PGD,57.4024585783,42.5975414217
NHA,57.3128061582,42.6871938418
PGC,57.01787752,42.98212248
NHC,59.6474953618,40.3525046382
VPR,77.2727272727,22.7272727273
NHN,53.3333333333,46.6666666667
S33,71.8309859155,28.1690140845
ONE,60.5577689243,39.4422310757
VPD,70.2054794521,29.7945205479
NHW,58.1395348837,41.8604651163
NHV,50.0,50.0
VPA,48.275862069,51.724137931
NHP,58.7826086957,41.2173913043
NHS,62.6738794436,37.3261205564
VPL,59.152016546,40.847983454
ST8,59.9821348816,40.0178651184
ONW,77.7777777778,22.2222222222
VPK,57.9905063291,42.0094936709
WCS,61.3323678494,38.6676321506
STG,59.934318555,40.065681445
STB,56.6189952329,43.3810047671
STC,57.8012481997,42.1987518003
STL,55.6555993247,44.3444006753
STK,59.0570719603,40.9429280397
STT,60.0,40.0
STU,83.3333333333,16.6666666667
STV,57.4935400517,42.5064599483
STP,56.7831031682,43.2168968318
STS,63.3484162896,36.6515837104
TBC,61.790567546,38.209432454
NSN,56.0846560847,43.9153439153
QLT,68.75,31.25
NCT,61.8270799347,38.1729200653
PNT,50.0,50.0
TFC,55.7863501484,44.2136498516
UDC,60.2771362587,39.7228637413
PNJ,59.8048780488,40.1951219512
UDJ,63.2245169887,36.7754830113
PNC,59.4100074683,40.5899925317
PND,37.5,62.5
PNG,64.0,36.0
MIM,55.2941176471,44.7058823529
VFG,59.8761609907,40.1238390093
