# Ticker, PercentRise,PercentFall
VFC,57.5619625695,42.4380374305
PGI,60.8327452364,39.1672547636
VFR,54.8291859975,45.1708140025
QPH,62.0512820513,37.9487179487
PRC,56.7811934901,43.2188065099
SAC,60.824742268,39.175257732
SAB,61.0294117647,38.9705882353
PRO,60.3896103896,39.6103896104
SAF,62.9580279813,37.0419720187
RAT,66.6666666667,33.3333333333
WTC,47.0085470085,52.9914529915
X18,60.8695652174,39.1304347826
SAS,55.2434456929,44.7565543071
SAP,55.8655221745,44.1344778255
SAV,61.1189204386,38.8810795614
PGS,54.6822742475,45.3177257525
QBS,54.0706605223,45.9293394777
TPC,61.0101905184,38.9898094816
VPC,65.400115141,34.599884859
TPH,58.0491132333,41.9508867667
TPS,62.0689655172,37.9310344828
TPP,58.315565032,41.684434968
NPH,80.0,20.0
VIB,67.2566371681,32.7433628319
VIC,60.1729818781,39.8270181219
VIF,61.3333333333,38.6666666667
VIG,63.906581741,36.093418259
VID,59.706232632,40.293767368
VIE,54.8076923077,45.1923076923
SFT,59.1549295775,40.8450704225
VIN,63.8436482085,36.1563517915
TYA,59.4038325053,40.5961674947
VIM,100.0,0.0
SFN,61.9638826185,38.0361173815
VIS,56.8453528731,43.1546471269
VIP,55.1724137931,44.8275862069
VIT,59.702457956,40.297542044
RHN,50,50.0
SFG,60.9250398724,39.0749601276
RHC,61.0169491525,38.9830508475
SFC,60.7142857143,39.2857142857
OCH,61.8784530387,38.1215469613
NGC,57.7335375191,42.2664624809
S74,58.7044534413,41.2955465587
PKR,100.0,0.0
NLS,66.6666666667,33.3333333333
TKC,60.9712230216,39.0287769784
SZL,57.8824626866,42.1175373134
RTB,62.2950819672,37.7049180328
RTH,100.0,0.0
SZE,64.3564356436,35.6435643564
NLC,58.1980973699,41.8019026301
TKU,56.9587628866,43.0412371134
RTS,100.0,0.0
VST,63.3557800224,36.6442199776
SHP,68.1228668942,31.8771331058
UEM,52.380952381,47.619047619
SHS,57.5651302605,42.4348697395
SHV,74.3902439024,25.6097560976
SHX,0.0,100.0
SHA,61.4016736402,38.5983263598
SHB,60.0391772772,39.9608227228
SHC,54.7422024188,45.2577975812
NIS,61.9952494062,38.0047505938
SHI,58.6262844781,41.3737155219
SHN,57.661505606,42.338494394
TBX,61.3721804511,38.6278195489
SEP,50,50.0
TBT,61.7647058824,38.2352941176
SSS,52.3364485981,47.6635514019
SSM,59.5037220844,40.4962779156
SSN,55.421686747,44.578313253
SSI,52.0721412126,47.9278587874
SSG,55.7046979866,44.2953020134
SSF,60.2678571429,39.7321428571
TBD,61.0552763819,38.9447236181
SSC,61.0585348756,38.9414651244
VJC,53.0864197531,46.9135802469
PVP,51.9230769231,48.0769230769
PVS,53.6595394737,46.3404605263
PVR,61.4069690993,38.5930309007
PVT,55.3119730185,44.6880269815
QTP,64.6153846154,35.3846153846
PVV,62.9146919431,37.0853080569
PVX,58.5590189065,41.4409810935
PVC,52.9485570891,47.0514429109
PVA,57.2447859495,42.7552140505
S91,56.9040247678,43.0959752322
PVB,52.6132404181,47.3867595819
SEC,60.3137254902,39.6862745098
S96,58.2642613359,41.7357386641
SEA,47.9674796748,52.0325203252
PVF,52.4160524161,47.5839475839
PVI,54.3265306122,45.6734693878
PVE,56.5552699229,43.4447300771
S99,57.4623987659,42.5376012341
SEL,60.7082630691,39.2917369309
PVM,68.2926829268,31.7073170732
PVL,60.0337268128,39.9662731872
PVO,57.6131687243,42.3868312757
PVD,54.6493902439,45.3506097561
VTA,60.5829596413,39.4170403587
VTC,62.3325710552,37.6674289448
PV2,64.6439628483,35.3560371517
PVG,58.1826831589,41.8173168411
VTG,72.4489795918,27.5510204082
TLT,55.4404145078,44.5595854922
VTI,53.90625,46.09375
PDV,40.0,60.0
VTJ,63.5802469136,36.4197530864
PDR,60.607979734,39.392020266
VTO,58.2850041425,41.7149958575
SGC,60.2143757881,39.7856242119
TLC,55.5201021059,44.4798978941
PDN,57.6315789474,42.3684210526
VTS,58.9497459063,41.0502540937
TLG,61.7558628984,38.2441371016
PVH,50.0,50.0
UNI,57.6050576422,42.3949423578
TLH,58.9531680441,41.0468319559
PDC,60.918816866,39.081183134
PDB,56.0924369748,43.9075630252
NUE,80.0,20.0
VMI,64.6449704142,35.3550295858
VMG,50.6666666667,49.3333333333
VMD,58.2884097035,41.7115902965
VMC,55.5622369212,44.4377630788
VMA,71.9101123596,28.0898876404
VMS,63.9830508475,36.0169491525
TUG,77.2727272727,22.7272727273
SWC,57.6045627376,42.3954372624
VTB,61.6633663366,38.3366336634
VQC,60.4347826087,39.5652173913
TGP,60.1877934272,39.8122065728
POV,66.1122661123,33.8877338877
POT,57.2815533981,42.7184466019
VTF,63.9344262295,36.0655737705
POS,53.1746031746,46.8253968254
VC1,59.5168374817,40.4831625183
VC2,56.1101549053,43.8898450947
POM,62.6400996264,37.3599003736
VC5,58.0815347722,41.9184652278
VC6,59.1935483871,40.8064516129
VC7,60.1304347826,39.8695652174
VC9,62.2835150738,37.7164849262
VCA,60.7142857143,39.2857142857
VCB,53.7418382722,46.2581617278
VCC,59.6359743041,40.3640256959
VCF,62.8888888889,37.1111111111
VCG,53.825136612,46.174863388
VCH,56.9468267581,43.0531732419
LO5,59.7381342062,40.2618657938
VCM,58.1602373887,41.8397626113
SLS,55.8223289316,44.1776710684
VCP,66.9565217391,33.0434782609
VCR,62.9022465088,37.0977534912
VCS,57.0080862534,42.9919137466
VCT,55.3191489362,44.6808510638
S27,55.4192229039,44.5807770961
VCV,56.3356164384,43.6643835616
VCW,51.5463917526,48.4536082474
VCX,70.4225352113,29.5774647887
RBC,100.0,0.0
SLC,52.688172043,47.311827957
MCL,58.1881533101,41.8118466899
V12,62.361878453,37.638121547
V11,61.5094339623,38.4905660377
V15,64.3360752056,35.6639247944
VLA,62.3655913978,37.6344086022
XMC,55.5138784696,44.4861215304
QSP,66.6666666667,33.3333333333
OGC,55.3561413348,44.6438586652
QST,60.2870813397,39.7129186603
VLB,57.3170731707,42.6829268293
TQN,50,50.0
VTV,58.3099719664,41.6900280336
PAC,59.0542099193,40.9457900807
VTX,57.3149741824,42.6850258176
VLF,60.777385159,39.222614841
PAN,58.1967213115,41.8032786885
VNG,60.3785900783,39.6214099217
VNF,60.033869602,39.966130398
VNE,55.3971486762,44.6028513238
VND,55.9002770083,44.0997229917
VNC,61.2461334512,38.7538665488
VNB,53.164556962,46.835443038
VNA,62.4417520969,37.5582479031
VNN,57.3426573427,42.6573426573
VNM,62.3856439127,37.6143560873
VNL,64.2904290429,35.7095709571
TH1,57.4868322047,42.5131677953
VNH,61.9239631336,38.0760368664
VNT,58.8188976378,41.1811023622
VNS,58.0184331797,41.9815668203
VNR,58.9794303797,41.0205696203
VNP,58.2781456954,41.7218543046
RIC,56.5562913907,43.4437086093
VNX,49.5798319328,50.4201680672
THW,67.7419354839,32.2580645161
THV,56.09375,43.90625
THT,58.0030105369,41.9969894631
THS,68.2864450128,31.7135549872
VT8,68.8172043011,31.1827956989
VXB,60.5150214592,39.4849785408
THI,28.5714285714,71.4285714286
THG,63.9167862267,36.0832137733
THB,57.8024547049,42.1975452951
PHH,60.3145795523,39.6854204477
PHC,59.1729761211,40.8270238789
PHS,55.8312655087,44.1687344913
PHR,58.765560166,41.234439834
PHP,58.0573951435,41.9426048565
PHT,59.6852300242,40.3147699758
SKS,61.2377850163,38.7622149837
SKG,58.2995951417,41.7004048583
TCW,50,50.0
TCT,56.2770562771,43.7229437229
TCR,62.7797408716,37.2202591284
TCS,60.1591511936,39.8408488064
TCO,62.2950819672,37.7049180328
TCL,59.1332967636,40.8667032364
TCM,53.9386401327,46.0613598673
TCH,58.8888888889,41.1111111111
TCD,80.9523809524,19.0476190476
VPS,60.1503759398,39.8496240602
TC6,57.0363466915,42.9636533085
VGG,53.3950617284,46.6049382716
VGC,59.012345679,40.987654321
VGT,52.1367521368,47.8632478632
S64,54.3744889616,45.6255110384
VGP,60.392340028,39.607659972
VGS,58.4427767355,41.5572232645
NVT,61.4253393665,38.5746606335
SAM,59.7184489998,40.2815510002
PSL,62.6811594203,37.3188405797
PSB,65.1349798966,34.8650201034
PSC,60.4899497487,39.5100502513
PSG,64.5193260654,35.4806739346
PSD,59.5744680851,40.4255319149
PSE,61.568627451,38.431372549
PRUBF1,65.770609319,34.229390681
NVC,58.5649644473,41.4350355527
NVB,64.8380700595,35.1619299405
OPC,62.3639960435,37.6360039565
NVN,58.8132635253,41.1867364747
PSP,63.698630137,36.301369863
NVL,59.1666666667,40.8333333333
RAL,57.7133907596,42.2866092404
TMP,67.8308823529,32.1691176471
TMS,63.9664047684,36.0335952316
TMT,58.7171052632,41.2828947368
TMW,56.0,44.0
PET,55.4414784394,44.5585215606
NNC,61.130952381,38.869047619
PEQ,72.5,27.5
PEN,63.5379061372,36.4620938628
TMC,62.091503268,37.908496732
TMG,75.0,25.0
PEC,73.4693877551,26.5306122449
V21,54.652532391,45.347467609
TVU,66.6666666667,33.3333333333
S12,56.0498220641,43.9501779359
TVS,65.1327433628,34.8672566372
TVM,62.962962963,37.037037037
TVN,61.2546125461,38.7453874539
VRG,58.064516129,41.935483871
TVD,64.988730278,35.011269722
TVG,67.8571428571,32.1428571429
ND2,65.0224215247,34.9775784753
TVA,70.0,30.0
TVC,59.8837209302,40.1162790698
TVB,61.0236220472,38.9763779528
SRB,61.2376237624,38.7623762376
SRC,54.711087975,45.288912025
SRA,57.696969697,42.303030303
SRF,60.2430555556,39.7569444444
NDN,59.9870298314,40.0129701686
XMD,0.0,100.0
TV4,62.9184100418,37.0815899582
NDC,59.0132827324,40.9867172676
YRC,50.0,50.0
TV1,63.6634400596,36.3365599404
TV3,60.0,40.0
NDF,59.2805755396,40.7194244604
NDX,65.3439153439,34.6560846561
PSI,63.3039092055,36.6960907945
SRT,48.5507246377,51.4492753623
VBH,60.3819784525,39.6180215475
NDP,58.7209302326,41.2790697674
LCS,56.9785276074,43.0214723926
NNT,68.0722891566,31.9277108434
TDN,60.248783126,39.751216874
TDM,66.6666666667,33.3333333333
QNS,57.1428571429,42.8571428571
TDC,59.2260235558,40.7739764442
TDG,14.2857142857,85.7142857143
PLX,72.7272727273,27.2727272727
PLC,55.0808314088,44.9191685912
QNC,60.2934216753,39.7065783247
TDS,62.1621621622,37.8378378378
TDW,61.0644257703,38.9355742297
NMK,64.0776699029,35.9223300971
VHH,61.623246493,38.376753507
SD4,61.3045610593,38.6954389407
SD5,56.6569888013,43.3430111987
SD6,57.8378378378,42.1621621622
SD7,55.1375404531,44.8624595469
SD1,58.623853211,41.376146789
SD2,59.1862955032,40.8137044968
SD3,55.0638686131,44.9361313869
SD8,54.0516473731,45.9483526269
SD9,56.8199233716,43.1800766284
RCL,58.5266030014,41.4733969986
WSS,62.3799359658,37.6200640342
RCD,57.9113924051,42.0886075949
RCC,54.9019607843,45.0980392157
PPC,56.3953488372,43.6046511628
PPG,57.751586582,42.248413418
PPE,68.3223992502,31.6776007498
PPI,58.5379464286,41.4620535714
NSC,61.2387202625,38.7612797375
VFMVFA,61.8421052632,38.1578947368
NSG,61.6216216216,38.3783783784
PPS,62.5465376024,37.4534623976
PPP,58.8454376164,41.1545623836
PPY,53.3333333333,46.6666666667
NST,56.8365888518,43.1634111482
VKP,61.5676359039,38.4323640961
SHG,59.5,40.5
MTH,58.8932806324,41.1067193676
VFMVF4,66.6911225238,33.3088774762
NS2,60.0,40.0
NS3,57.3529411765,42.6470588235
VFMVF1,59.8125976054,40.1874023946
SDT,58.577569363,41.422430637
SDU,57.6652601969,42.3347398031
SDV,61.4740368509,38.5259631491
SDP,56.9299552906,43.0700447094
SDS,53.0444964871,46.9555035129
SDX,62.8571428571,37.1428571429
SDY,58.7888531618,41.2111468382
PSW,60.7142857143,39.2857142857
SDD,61.0017123288,38.9982876712
SDE,56.3253012048,43.6746987952
SDF,69.3950177936,30.6049822064
SDG,61.9158878505,38.0841121495
SDA,56.8711180124,43.1288819876
SDB,59.1039084843,40.8960915157
SDC,56.4705882353,43.5294117647
VIR,63.1713554987,36.8286445013
SDN,59.5471698113,40.4528301887
SDH,58.2430806258,41.7569193742
SDI,52.4348810872,47.5651189128
SDJ,55.4812834225,44.5187165775
SDK,64.8918469218,35.1081530782
TIX,65.7370517928,34.2629482072
TIP,58.203125,41.796875
TIS,66.5989847716,33.4010152284
S55,54.9765057668,45.0234942332
TIE,60.0337268128,39.9662731872
TIG,58.2301980198,41.7698019802
TIC,67.4150485437,32.5849514563
UIC,58.6550976139,41.3449023861
NNG,59.1160220994,40.8839779006
PIA,53.0864197531,46.9135802469
PIC,73.4899328859,26.5100671141
PID,57.4257425743,42.5742574257
VTH,61.1785095321,38.8214904679
TL4,62.5475285171,37.4524714829
VC3,53.9908779932,46.0091220068
PIS,63.6363636364,36.3636363636
PIT,61.1911623439,38.8088376561
PIV,56.8262411348,43.1737588652
SVN,61.2860892388,38.7139107612
NT2,57.4122236671,42.5877763329
SGO,57.1906354515,42.8093645485
SVI,61.2779552716,38.7220447284
SVG,40.0,60.0
PXL,65.1234567901,34.8765432099
SVC,57.1867794005,42.8132205995
SVT,64.2857142857,35.7142857143
SVS,56.6716641679,43.3283358321
TMB,50.0,50.0
SED,61.273957159,38.726042841
VIH,56.25,43.75
VDS,61.3728912158,38.6271087842
VDT,57.2580645161,42.7419354839
TNT,59.5102505695,40.4897494305
VDL,60.209102091,39.790897909
VDN,64.5833333333,35.4166666667
NWT,50,50.0
SCL,56.364874064,43.635125936
SCO,56.4885496183,43.5114503817
PTL,62.2473246136,37.7526753864
SCI,59.3220338983,40.6779661017
SCH,40.0,60.0
PTI,63.3235724744,36.6764275256
PTH,73.2558139535,26.7441860465
PTG,95.4545454545,4.5454545455
SCD,59.2327150084,40.7672849916
PTE,59.6638655462,40.3361344538
PTD,61.2359550562,38.7640449438
PTC,55.7473519027,44.2526480973
PTB,61.0228058051,38.9771941949
SCC,56.0943643512,43.9056356488
ROS,78.3251231527,21.6748768473
PTS,58.9118960617,41.0881039383
PTP,55.3271028037,44.6728971963
TRI,59.3969434118,40.6030565882
PBP,61.2966601179,38.7033398821
UPH,71.4285714286,28.5714285714
TRA,66.3157894737,33.6842105263
TRC,59.0436590437,40.9563409563
SFI,55.611847233,44.388152767
UPC,66.6666666667,33.3333333333
SQC,77.1907216495,22.8092783505
SC5,56.882327399,43.117672601
TRS,61.5720524017,38.4279475983
TRT,100.0,0.0
VOC,47.9166666667,52.0833333333
VOS,63.841138115,36.158861885
NET,54.5777146913,45.4222853087
PMT,57.9545454545,42.0454545455
VRC,63.0750605327,36.9249394673
PMP,65.1685393258,34.8314606742
VIX,56.9050554871,43.0949445129
PMS,59.95583364,40.04416636
NBR,100.0,0.0
SJ1,61.2152186258,38.7847813742
TEG,56.6489361702,43.3510638298
PMB,67.7884615385,32.2115384615
PMC,57.8526556254,42.1473443746
TET,61.7543859649,38.2456140351
PMJ,75.0,25.0
RDP,58.8636363636,41.1363636364
SJS,55.1724137931,44.8275862069
SJM,58.0912863071,41.9087136929
SJC,56.4869193807,43.5130806193
SJD,60.8796296296,39.1203703704
SJE,57.9037068598,42.0962931402
VPH,57.9082946935,42.0917053065
USC,60.0,40.0
QCC,55.7582668187,44.2417331813
VHL,61.8139803582,38.1860196418
QCG,61.8213660245,38.1786339755
SEB,63.1828978622,36.8171021378
VHD,50.0,50.0
VHG,53.6250536251,46.3749463749
VHF,66.9491525424,33.0508474576
VHC,57.3176257363,42.6823742637
TXM,58.6860670194,41.3139329806
VSA,69.111969112,30.888030888
PXS,55.505107832,44.494892168
SGP,51.4705882353,48.5294117647
SGS,59.4458438287,40.5541561713
SGR,65.9176029963,34.0823970037
SGT,58.6870681145,41.3129318855
PXT,59.5332953899,40.4667046101
SGH,62.1395737568,37.8604262432
PXI,59.874069834,40.125930166
PXM,62.9380053908,37.0619946092
SGN,62.5806451613,37.4193548387
PXA,64.1666666667,35.8333333333
SGD,60.7594936709,39.2405063291
PTO,100.0,0.0
TNW,33.3333333333,66.6666666667
TNP,37.5,62.5
TNS,50.0,50.0
PX1,60.5263157895,39.4736842105
TNY,73.9130434783,26.0869565217
PTM,58.8100686499,41.1899313501
TND,41.0256410256,58.9743589744
TNG,53.6718422157,46.3281577843
TNA,58.6397058824,41.3602941176
QTC,59.7410604192,40.2589395808
TNC,58.3889816361,41.6110183639
TNB,61.0062893082,38.9937106918
TNM,61.1954459203,38.8045540797
PTK,62.850182704,37.149817296
TV2,62.5968992248,37.4031007752
TNI,50.0,50.0
VSP,58.8313413015,41.1686586985
NKD,61.4199598125,38.5800401875
NKG,58.7648159701,41.2351840299
SCJ,57.3225516622,42.6774483378
PFL,64.7203441918,35.2796558082
TW3,58.904109589,41.095890411
VSC,60.8881298036,39.1118701964
VSG,61.3913043478,38.6086956522
VSH,61.407249467,38.592750533
VSI,59.5408895265,40.4591104735
VSN,52.2580645161,47.7419354839
